  WIND-SMS-STICS H+, He+2, He+ fluxes for Telescopes 1,2,3
 ==========================================================
  Run time  14:13:52   24-SEP-99
  Output Filename: ahhe960901.dat             
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19960901_V01.DAT;1                              
  Clock selected: Wall     Trigger mode is (Tn.!E)+(Tn.En)       
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =   M/Q & M
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  240 to   1000
          Telescope checking is  ON
  Start Time:  19960901  00:00:00     End Time:  19960901  23:59:59
  Energy range = 10 - 30 keV/amu =>   H+   = DVS04-13 
                                      He+2 = DVS10-19 
                                      He+  = DVS16-25 
  Interval Start Time  
  YEAR DOY:HR:MN:SC    SPEED      H_Tel1     He2_Tel1    He1_Tel1     H_Tel2     He2_Tel2    He1_Tel2     H_Tel3     He2_Tel3    He1_Tel3 
  1996 245:04:58:23    438.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:01:39    436.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:04:52    436.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:11:19    437.2    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:14:32    440.9    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:17:45    437.3    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:20:59    435.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:24:12    434.9    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:27:25    439.3    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:30:38    437.6    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:33:52    442.1    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:37:05    430.5    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:40:18    431.7    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:43:31    429.5    0.0000E+00  0.0000E+00  0.0000E+00  2.2539E+01  1.1842E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:46:45    431.7    0.0000E+00  3.4670E+01  0.0000E+00  0.0000E+00  1.2521E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:49:58    442.4    0.0000E+00  1.2521E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:53:11    442.9    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.5744E+01  0.0000E+00  0.0000E+00  1.3375E+01  0.0000E+00
  1996 245:05:56:24    437.1    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1996 245:05:59:38    442.3    0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
