1994 356 22:48   33.70  -23.33   -1.90
1994 356 23:00   33.63  -23.23   -1.90
1994 356 23:12   33.56  -23.13   -1.89
1994 356 23:24   33.49  -23.03   -1.89
1994 356 23:36   33.41  -22.93   -1.89
1994 356 23:48   33.34  -22.83   -1.88
1994 357 00:00   33.27  -22.73   -1.88
1994 357 00:12   33.20  -22.62   -1.88
1994 357 00:24   33.12  -22.52   -1.88
1994 357 00:36   33.05  -22.42   -1.87
1994 357 00:48   32.97  -22.32   -1.87
1994 357 01:00   32.90  -22.21   -1.87
1994 357 01:12   32.82  -22.11   -1.86
1994 357 01:24   32.75  -22.00   -1.86
1994 357 01:36   32.67  -21.90   -1.86
1994 357 01:48   32.59  -21.79   -1.85
1994 357 02:00   32.52  -21.69   -1.85
1994 357 02:12   32.44  -21.58   -1.85
1994 357 02:24   32.36  -21.48   -1.84
1994 357 02:36   32.28  -21.37   -1.84
1994 357 02:48   32.21  -21.27   -1.84
1994 357 03:00   32.13  -21.16   -1.83
1994 357 03:12   32.05  -21.05   -1.83
1994 357 03:24   31.97  -20.95   -1.83
1994 357 03:36   31.89  -20.84   -1.82
1994 357 03:48   31.81  -20.73   -1.82
1994 357 04:00   31.73  -20.62   -1.82
1994 357 04:12   31.64  -20.51   -1.81
1994 357 04:24   31.56  -20.40   -1.81
1994 357 04:36   31.48  -20.30   -1.81
1994 357 04:48   31.40  -20.19   -1.80
1994 357 05:00   31.31  -20.08   -1.80
1994 357 05:12   31.23  -19.97   -1.80
1994 357 05:24   31.15  -19.86   -1.79
1994 357 05:36   31.06  -19.74   -1.79
1994 357 05:48   30.98  -19.63   -1.79
1994 357 06:00   30.89  -19.52   -1.78
1994 357 06:12   30.80  -19.41   -1.78
1994 357 06:24   30.72  -19.30   -1.77
1994 357 06:36   30.63  -19.18   -1.77
1994 357 06:48   30.54  -19.07   -1.77
1994 357 07:00   30.46  -18.96   -1.76
1994 357 07:12   30.37  -18.84   -1.76
1994 357 07:24   30.28  -18.73   -1.75
1994 357 07:36   30.19  -18.62   -1.75
1994 357 07:48   30.10  -18.50   -1.75
1994 357 08:00   30.01  -18.39   -1.74
1994 357 08:12   29.92  -18.27   -1.74
1994 357 08:24   29.83  -18.16   -1.73
1994 357 08:36   29.73  -18.04   -1.73
1994 357 08:48   29.64  -17.92   -1.73
1994 357 09:00   29.55  -17.81   -1.72
1994 357 09:12   29.45  -17.69   -1.72
1994 357 09:24   29.36  -17.57   -1.71
1994 357 09:36   29.27  -17.45   -1.71
1994 357 09:48   29.17  -17.33   -1.70
1994 357 10:00   29.08  -17.22   -1.70
1994 357 10:12   28.98  -17.10   -1.70
1994 357 10:24   28.88  -16.98   -1.69
1994 357 10:36   28.78  -16.86   -1.69
1994 357 10:48   28.69  -16.74   -1.68
1994 357 11:00   28.59  -16.62   -1.68
1994 357 11:12   28.49  -16.49   -1.67
1994 357 11:24   28.39  -16.37   -1.67
1994 357 11:36   28.29  -16.25   -1.66
1994 357 11:48   28.19  -16.13   -1.66
1994 357 12:00   28.09  -16.01   -1.65
1994 357 12:12   27.98  -15.88   -1.65
1994 357 12:24   27.88  -15.76   -1.65
1994 357 12:36   27.78  -15.63   -1.64
1994 357 12:48   27.67  -15.51   -1.64
1994 357 13:00   27.57  -15.39   -1.63
1994 357 13:12   27.46  -15.26   -1.63
1994 357 13:24   27.36  -15.13   -1.62
1994 357 13:36   27.25  -15.01   -1.62
1994 357 13:48   27.14  -14.88   -1.61
1994 357 14:00   27.03  -14.76   -1.60
1994 357 14:12   26.93  -14.63   -1.60
1994 357 14:24   26.82  -14.50   -1.59
1994 357 14:36   26.71  -14.37   -1.59
1994 357 14:48   26.60  -14.24   -1.58
1994 357 15:00   26.48  -14.11   -1.58
1994 357 15:12   26.37  -13.98   -1.57
1994 357 15:24   26.26  -13.85   -1.57
